,Average_Temparature
1980-01-01,-9.539656639099121
1980-01-02,-11.12955379486084
1980-01-03,-13.179667472839355
1980-01-04,-21.076231002807617
1980-01-05,-23.082073211669922
1980-01-06,-22.491613388061523
1980-01-07,-19.481523513793945
1980-01-08,-14.039039611816406
1980-01-09,-11.811725616455078
1980-01-10,-15.31534481048584
1980-01-11,-13.446661949157715
1980-01-12,-14.132695198059082
1980-01-13,-8.892840385437012
1980-01-14,-13.040913581848145
1980-01-15,-26.256988525390625
1980-01-16,-16.644386291503906
1980-01-17,-12.222609519958496
1980-01-18,-16.137714385986328
1980-01-19,-15.440409660339355
1980-01-20,-8.690667152404785
1980-01-21,-13.505706787109375
1980-01-22,-11.990171432495117
1980-01-23,-14.570722579956055
1980-01-24,-18.718673706054688
1980-01-25,-29.177366256713867
1980-01-26,-32.29705810546875
1980-01-27,-30.040782928466797
1980-01-28,-27.84629249572754
1980-01-29,-28.463436126708984
1980-01-30,-29.141542434692383
1980-01-31,-26.249576568603516
1980-02-01,-22.503189086914062
1980-02-02,-20.42424774169922
1980-02-03,-23.125892639160156
1980-02-04,-23.822492599487305
1980-02-05,-20.53598976135254
1980-02-06,-23.45342254638672
1980-02-07,-25.147335052490234
1980-02-08,-23.12976837158203
1980-02-09,-25.951398849487305
1980-02-10,-25.560401916503906
1980-02-11,-23.984241485595703
1980-02-12,-21.319988250732422
1980-02-13,-14.251349449157715
1980-02-14,-13.102487564086914
1980-02-15,-16.97336769104004
1980-02-16,-19.1463680267334
1980-02-17,-15.401156425476074
1980-02-18,-14.512967109680176
1980-02-19,-10.007791519165039
1980-02-20,-6.280816555023193
1980-02-21,-5.947633743286133
1980-02-22,-13.880786895751953
1980-02-23,-13.073019981384277
1980-02-24,-10.895462989807129
1980-02-25,-12.610819816589355
1980-02-26,-20.34233856201172
1980-02-27,-21.333599090576172
1980-02-28,-19.65982437133789
1980-02-29,-16.466699600219727
1980-03-01,-16.740936279296875
1980-03-02,-16.80168342590332
1980-03-03,-16.371620178222656
1980-03-04,-13.50246524810791
1980-03-05,-10.876325607299805
1980-03-06,-15.201212882995605
