,Average_Temparature
1980-01-01,-8.742265701293945
1980-01-02,-13.037284851074219
1980-01-03,-16.83283042907715
1980-01-04,-21.996475219726562
1980-01-05,-20.971424102783203
1980-01-06,-20.553531646728516
1980-01-07,-20.390600204467773
1980-01-08,-15.302326202392578
1980-01-09,-17.9398136138916
1980-01-10,-15.562307357788086
1980-01-11,-15.820049285888672
1980-01-12,-16.112520217895508
1980-01-13,-12.627626419067383
1980-01-14,-25.41482925415039
1980-01-15,-29.047269821166992
1980-01-16,-19.716501235961914
1980-01-17,-14.494088172912598
1980-01-18,-16.385072708129883
1980-01-19,-15.671270370483398
1980-01-20,-14.913108825683594
1980-01-21,-14.304583549499512
1980-01-22,-13.886138916015625
1980-01-23,-17.793062210083008
1980-01-24,-24.88028907775879
1980-01-25,-30.308021545410156
1980-01-26,-31.90453338623047
1980-01-27,-30.954540252685547
1980-01-28,-29.61646842956543
1980-01-29,-25.00777816772461
1980-01-30,-25.156919479370117
1980-01-31,-25.05095100402832
1980-02-01,-23.321012496948242
1980-02-02,-22.54754638671875
1980-02-03,-21.81896209716797
1980-02-04,-20.24047088623047
1980-02-05,-19.707443237304688
1980-02-06,-20.95847511291504
1980-02-07,-23.377716064453125
1980-02-08,-24.087461471557617
1980-02-09,-20.296527862548828
1980-02-10,-21.16541862487793
1980-02-11,-20.31189727783203
1980-02-12,-21.29247283935547
1980-02-13,-14.540019989013672
1980-02-14,-17.45591926574707
1980-02-15,-19.311325073242188
1980-02-16,-21.236419677734375
1980-02-17,-17.108034133911133
1980-02-18,-17.319032669067383
1980-02-19,-15.886953353881836
1980-02-20,-15.257055282592773
1980-02-21,-13.826306343078613
1980-02-22,-18.01194190979004
1980-02-23,-15.331170082092285
1980-02-24,-17.075653076171875
1980-02-25,-16.3419246673584
1980-02-26,-19.418251037597656
1980-02-27,-19.598609924316406
1980-02-28,-13.881964683532715
1980-02-29,-13.983250617980957
1980-03-01,-16.480905532836914
1980-03-02,-17.11310577392578
1980-03-03,-17.629602432250977
1980-03-04,-13.155925750732422
1980-03-05,-10.250894546508789
1980-03-06,-12.934765815734863
1980-03-07,-17.25568199157715
1980-03-08,-19.381452560424805
1980-03-09,-18.310348510742188
1980-03-10,-14.065555572509766
1980-03-11,-12.044832229614258
1980-03-12,-13.483731269836426
1980-03-13,-16.077251434326172
1980-03-14,-14.078862190246582
1980-03-15,-12.89346694946289
1980-03-16,-11.88124942779541
1980-03-17,-17.222505569458008
1980-03-18,-17.93427848815918
1980-03-19,-17.04374122619629
1980-03-20,-13.517008781433105
1980-03-21,-5.815237045288086
