,Average_Temparature
1980-01-01,-14.142650604248047
1980-01-02,-17.840696334838867
1980-01-03,-17.445415496826172
1980-01-04,-15.059602737426758
1980-01-05,-17.859445571899414
1980-01-06,-19.153549194335938
1980-01-07,-19.66925811767578
1980-01-08,-15.980596542358398
1980-01-09,-6.945843696594238
1980-01-10,-8.4562406539917
1980-01-11,-12.803504943847656
1980-01-12,-15.57516098022461
1980-01-13,-12.353926658630371
1980-01-14,-8.21442699432373
1980-01-15,-11.050726890563965
1980-01-16,-16.608299255371094
1980-01-17,-12.692035675048828
1980-01-18,-16.865291595458984
1980-01-19,-16.36182975769043
1980-01-20,-12.303038597106934
1980-01-21,-8.923662185668945
1980-01-22,-10.505520820617676
1980-01-23,-7.357077598571777
1980-01-24,-12.694546699523926
1980-01-25,-19.06491470336914
1980-01-26,-29.091211318969727
1980-01-27,-30.815349578857422
1980-01-28,-29.279050827026367
1980-01-29,-27.803991317749023
1980-01-30,-26.38709831237793
1980-01-31,-25.27916717529297
1980-02-01,-24.39984130859375
1980-02-02,-26.08437728881836
1980-02-03,-22.602052688598633
1980-02-04,-20.651987075805664
1980-02-05,-22.336872100830078
1980-02-06,-23.93425750732422
1980-02-07,-24.382394790649414
1980-02-08,-23.38655662536621
1980-02-09,-24.383907318115234
1980-02-10,-25.731199264526367
1980-02-11,-24.657398223876953
1980-02-12,-21.510459899902344
1980-02-13,-16.274166107177734
1980-02-14,-12.299420356750488
1980-02-15,-9.905484199523926
1980-02-16,-9.224678993225098
1980-02-17,-10.148297309875488
1980-02-18,-12.193719863891602
1980-02-19,-11.633587837219238
1980-02-20,-5.430365562438965
1980-02-21,-3.3309521675109863
1980-02-22,-7.520864486694336
1980-02-23,-12.199738502502441
1980-02-24,-10.601320266723633
1980-02-25,-7.666374683380127
1980-02-26,-11.648458480834961
1980-02-27,-15.01020622253418
1980-02-28,-17.42291831970215
1980-02-29,-16.0566463470459
1980-03-01,-15.391647338867188
1980-03-02,-14.297856330871582
1980-03-03,-12.80774974822998
1980-03-04,-10.408729553222656
1980-03-05,-7.654366970062256
1980-03-06,-11.623485565185547
1980-03-07,-18.343273162841797
1980-03-08,-22.062313079833984
1980-03-09,-22.805086135864258
1980-03-10,-20.342975616455078
1980-03-11,-17.62790298461914
1980-03-12,-15.177261352539062
1980-03-13,-12.7146635055542
1980-03-14,-11.935257911682129
1980-03-15,-10.808082580566406
1980-03-16,-7.0898661613464355
1980-03-17,-10.508354187011719
1980-03-18,-12.039388656616211
1980-03-19,-12.039176940917969
1980-03-20,-10.531927108764648
1980-03-21,-6.2551703453063965
1980-03-22,-1.8712724447250366
1980-03-23,-2.0985569953918457
1980-03-24,-1.625387191772461
1980-03-25,2.6218509674072266
1980-03-26,-4.3891472816467285
1980-03-27,-9.201854705810547
1980-03-28,-9.61586856842041
1980-03-29,-7.655137062072754
1980-03-30,-5.284305095672607
1980-03-31,0.04518202319741249
1980-04-01,1.045189619064331
1980-04-02,-5.606089115142822
1980-04-03,-10.62484359741211
1980-04-04,-10.107821464538574
1980-04-05,-8.774921417236328
1980-04-06,-3.881459951400757
1980-04-07,1.4829668998718262
1980-04-08,1.0181020498275757
1980-04-09,-2.5586342811584473
1980-04-10,-4.069897174835205
1980-04-11,-1.2349352836608887
1980-04-12,2.643195390701294
1980-04-13,5.037229061126709
1980-04-14,9.986421585083008
1980-04-15,12.368377685546875
1980-04-16,7.1208953857421875
1980-04-17,2.1058096885681152
1980-04-18,3.718245506286621
1980-04-19,5.277782440185547
1980-04-20,2.932675361633301
1980-04-21,3.2327182292938232
1980-04-22,3.2406575679779053
1980-04-23,5.2596845626831055
1980-04-24,5.809945583343506
1980-04-25,3.7217977046966553
1980-04-26,2.5223331451416016
1980-04-27,6.249166488647461
1980-04-28,10.092679977416992
1980-04-29,10.584904670715332
1980-04-30,1.3687679767608643
1980-05-01,0.05447229743003845
1980-05-02,1.864173412322998
1980-05-03,6.733882904052734
1980-05-04,11.003606796264648
1980-05-05,10.882043838500977
1980-05-06,15.829869270324707
1980-05-07,14.365581512451172
1980-05-08,14.379531860351562
1980-05-09,13.368712425231934
1980-05-10,9.123112678527832
1980-05-11,12.320687294006348
1980-05-12,10.721701622009277
1980-05-13,11.131645202636719
1980-05-14,12.554691314697266
1980-05-15,15.819655418395996
1980-05-16,14.647183418273926
1980-05-17,14.308943748474121
1980-05-18,14.324545860290527
1980-05-19,12.147147178649902
1980-05-20,14.735776901245117
1980-05-21,12.034454345703125
1980-05-22,9.809032440185547
1980-05-23,11.02877140045166
1980-05-24,17.30840492248535
1980-05-25,20.853757858276367
1980-05-26,24.190288543701172
1980-05-27,17.678424835205078
1980-05-28,7.239020347595215
1980-05-29,6.717803955078125
1980-05-30,9.89571762084961
1980-05-31,16.006933212280273
1980-06-01,16.388029098510742
1980-06-02,15.930386543273926
1980-06-03,11.543381690979004
1980-06-04,12.110540390014648
1980-06-05,8.951532363891602
1980-06-06,9.452751159667969
1980-06-07,10.778465270996094
1980-06-08,12.333142280578613
1980-06-09,13.61740779876709
1980-06-10,16.674182891845703
1980-06-11,14.806262969970703
1980-06-12,12.685758590698242
1980-06-13,13.556568145751953
1980-06-14,15.65758991241455
1980-06-15,18.233755111694336
1980-06-16,19.626304626464844
1980-06-17,18.224098205566406
