,Average_Temparature
1980-01-01,-9.118682861328125
1980-01-02,-13.087189674377441
1980-01-03,-17.212509155273438
1980-01-04,-22.634628295898438
1980-01-05,-21.324600219726562
1980-01-06,-21.67353630065918
1980-01-07,-20.93084144592285
1980-01-08,-15.315046310424805
1980-01-09,-17.405635833740234
1980-01-10,-15.088824272155762
1980-01-11,-15.778831481933594
1980-01-12,-16.27000617980957
1980-01-13,-12.669981002807617
1980-01-14,-23.066659927368164
1980-01-15,-28.913713455200195
1980-01-16,-19.752891540527344
1980-01-17,-14.971049308776855
1980-01-18,-16.407543182373047
1980-01-19,-15.641976356506348
1980-01-20,-13.477334022521973
1980-01-21,-13.820209503173828
1980-01-22,-14.201558113098145
1980-01-23,-16.941360473632812
1980-01-24,-21.78424072265625
1980-01-25,-28.918983459472656
1980-01-26,-31.416521072387695
1980-01-27,-30.616788864135742
1980-01-28,-29.248777389526367
1980-01-29,-26.204940795898438
1980-01-30,-26.23703384399414
1980-01-31,-25.369829177856445
1980-02-01,-23.45294952392578
1980-02-02,-22.40583038330078
1980-02-03,-21.73314094543457
1980-02-04,-21.244417190551758
1980-02-05,-20.963829040527344
1980-02-06,-21.505388259887695
1980-02-07,-23.407344818115234
1980-02-08,-24.805828094482422
1980-02-09,-22.258174896240234
1980-02-10,-21.44452476501465
1980-02-11,-20.40900993347168
1980-02-12,-21.741504669189453
1980-02-13,-14.34887981414795
1980-02-14,-16.675485610961914
1980-02-15,-17.99333953857422
1980-02-16,-20.870622634887695
1980-02-17,-16.330095291137695
1980-02-18,-16.402803421020508
1980-02-19,-16.049034118652344
1980-02-20,-15.56496524810791
1980-02-21,-12.832263946533203
1980-02-22,-16.711612701416016
1980-02-23,-14.307886123657227
1980-02-24,-16.06376838684082
1980-02-25,-17.626541137695312
1980-02-26,-18.794519424438477
1980-02-27,-21.72209930419922
1980-02-28,-17.159000396728516
1980-02-29,-14.376303672790527
1980-03-01,-16.51077651977539
1980-03-02,-17.051044464111328
1980-03-03,-18.22525978088379
1980-03-04,-14.750866889953613
1980-03-05,-11.50322151184082
1980-03-06,-12.76447582244873
1980-03-07,-17.374563217163086
1980-03-08,-19.591243743896484
1980-03-09,-19.15445899963379
1980-03-10,-16.85714340209961
1980-03-11,-12.711271286010742
1980-03-12,-14.726690292358398
1980-03-13,-15.625385284423828
1980-03-14,-13.7869234085083
1980-03-15,-12.99135684967041
1980-03-16,-12.84090518951416
1980-03-17,-17.028841018676758
1980-03-18,-18.32150650024414
1980-03-19,-17.07257843017578
1980-03-20,-14.183516502380371
1980-03-21,-6.146046161651611
1980-03-22,-7.948707103729248
1980-03-23,-7.835514545440674
1980-03-24,-3.324650526046753
1980-03-25,-3.516388177871704
1980-03-26,-7.54780387878418
1980-03-27,-7.648998260498047
1980-03-28,-6.877963542938232
1980-03-29,-5.1790080070495605
1980-03-30,-1.4789350032806396
1980-03-31,0.47209620475769043
1980-04-01,-2.243396043777466
1980-04-02,-9.206010818481445
1980-04-03,-8.68262767791748
1980-04-04,-6.5415239334106445
1980-04-05,-5.011382102966309
1980-04-06,-5.150210380554199
1980-04-07,-3.706416368484497
1980-04-08,-3.436206102371216
1980-04-09,-3.199449300765991
1980-04-10,-1.0347766876220703
1980-04-11,0.31822389364242554
1980-04-12,3.839233636856079
1980-04-13,8.775670051574707
1980-04-14,11.026419639587402
1980-04-15,7.436107635498047
1980-04-16,5.554926872253418
1980-04-17,4.263975620269775
1980-04-18,2.36248517036438
1980-04-19,3.7418670654296875
1980-04-20,6.663431644439697
1980-04-21,8.816605567932129
1980-04-22,7.167427062988281
1980-04-23,8.678028106689453
1980-04-24,10.819243431091309
1980-04-25,7.637453079223633
1980-04-26,9.321662902832031
1980-04-27,10.88558578491211
1980-04-28,11.4500732421875
1980-04-29,6.185980796813965
1980-04-30,2.468557119369507
1980-05-01,0.838869571685791
1980-05-02,5.6648335456848145
1980-05-03,10.481465339660645
1980-05-04,15.263787269592285
1980-05-05,15.938363075256348
1980-05-06,18.075088500976562
1980-05-07,16.07554054260254
1980-05-08,17.19861602783203
1980-05-09,7.095210075378418
1980-05-10,9.684192657470703
1980-05-11,12.996912002563477
1980-05-12,12.75617790222168
1980-05-13,13.873687744140625
1980-05-14,16.91919708251953
1980-05-15,18.920717239379883
1980-05-16,19.349620819091797
