,Average_Temparature
1980-01-01,-16.885793685913086
1980-01-02,-14.336670875549316
1980-01-03,-13.039695739746094
1980-01-04,-16.86173439025879
1980-01-05,-13.957207679748535
1980-01-06,-14.622780799865723
1980-01-07,-19.261293411254883
1980-01-08,-21.173969268798828
1980-01-09,-10.154112815856934
1980-01-10,-13.058879852294922
1980-01-11,-13.294937133789062
1980-01-12,-10.83889389038086
1980-01-13,-9.847434043884277
1980-01-14,-6.196598529815674
1980-01-15,-17.332666397094727
1980-01-16,-20.053218841552734
1980-01-17,-11.346742630004883
1980-01-18,-11.47730541229248
1980-01-19,-12.07568359375
1980-01-20,-8.215191841125488
1980-01-21,-7.132490158081055
1980-01-22,-8.956037521362305
1980-01-23,-7.746236801147461
1980-01-24,-15.453445434570312
1980-01-25,-27.434001922607422
1980-01-26,-30.402645111083984
1980-01-27,-28.032367706298828
1980-01-28,-24.18967056274414
1980-01-29,-21.754995346069336
1980-01-30,-20.354673385620117
1980-01-31,-18.165956497192383
1980-02-01,-20.025087356567383
1980-02-02,-19.724206924438477
1980-02-03,-17.415367126464844
1980-02-04,-16.88054084777832
1980-02-05,-18.68560218811035
1980-02-06,-19.203411102294922
1980-02-07,-19.876462936401367
1980-02-08,-20.856565475463867
1980-02-09,-21.04801368713379
1980-02-10,-21.402673721313477
1980-02-11,-20.273658752441406
1980-02-12,-18.506988525390625
1980-02-13,-17.503650665283203
1980-02-14,-10.83468246459961
1980-02-15,-10.71533489227295
1980-02-16,-14.05707836151123
1980-02-17,-14.169316291809082
1980-02-18,-11.673967361450195
1980-02-19,-8.67121410369873
1980-02-20,-6.2960381507873535
1980-02-21,-2.064962387084961
1980-02-22,-7.70137882232666
1980-02-23,-12.991692543029785
1980-02-24,-11.398297309875488
1980-02-25,-7.582275390625
1980-02-26,-11.019500732421875
1980-02-27,-12.93407154083252
1980-02-28,-12.837790489196777
1980-02-29,-11.242560386657715
1980-03-01,-11.479413032531738
1980-03-02,-10.19055461883545
1980-03-03,-10.96741008758545
1980-03-04,-9.193026542663574
1980-03-05,-9.652680397033691
1980-03-06,-15.465397834777832
1980-03-07,-18.90418815612793
1980-03-08,-20.41366195678711
1980-03-09,-17.363243103027344
1980-03-10,-13.755845069885254
1980-03-11,-12.541936874389648
1980-03-12,-11.257462501525879
1980-03-13,-10.952308654785156
1980-03-14,-9.681869506835938
1980-03-15,-10.961484909057617
1980-03-16,-8.274649620056152
1980-03-17,-9.148056030273438
1980-03-18,-12.161691665649414
1980-03-19,-11.04744815826416
1980-03-20,-9.553061485290527
1980-03-21,-7.883802890777588
1980-03-22,-5.044622421264648
1980-03-23,-5.603589057922363
1980-03-24,-0.39626598358154297
1980-03-25,2.0402321815490723
1980-03-26,-7.0517802238464355
1980-03-27,-9.509407997131348
1980-03-28,-8.144490242004395
1980-03-29,-7.410732746124268
1980-03-30,-4.76117467880249
1980-03-31,-0.631935715675354
1980-04-01,-3.3041837215423584
1980-04-02,-14.420097351074219
1980-04-03,-16.173011779785156
1980-04-04,-13.383562088012695
1980-04-05,-12.857152938842773
1980-04-06,-8.620513916015625
1980-04-07,-3.054959297180176
1980-04-08,-2.3396546840667725
1980-04-09,-3.8543214797973633
1980-04-10,-3.9950757026672363
1980-04-11,-1.1260864734649658
1980-04-12,0.7705349326133728
1980-04-13,1.9305936098098755
1980-04-14,9.279838562011719
1980-04-15,7.616469860076904
1980-04-16,2.9209141731262207
1980-04-17,-2.601985216140747
1980-04-18,-1.857169508934021
1980-04-19,1.4653124809265137
1980-04-20,1.798264980316162
1980-04-21,2.3811285495758057
1980-04-22,3.532991647720337
1980-04-23,6.388183116912842
1980-04-24,7.008520126342773
1980-04-25,3.2928946018218994
1980-04-26,3.4773752689361572
1980-04-27,7.003592014312744
1980-04-28,9.216233253479004
1980-04-29,5.860188007354736
1980-04-30,0.22810645401477814
1980-05-01,-0.7753400206565857
1980-05-02,0.45387810468673706
1980-05-03,2.7821507453918457
1980-05-04,4.088796615600586
1980-05-05,5.794596195220947
1980-05-06,13.858769416809082
1980-05-07,9.340157508850098
1980-05-08,12.659173965454102
1980-05-09,7.001236438751221
1980-05-10,7.197020053863525
1980-05-11,7.3488078117370605
1980-05-12,6.831745147705078
1980-05-13,9.936758041381836
1980-05-14,13.442678451538086
