,Average_Temparature
1980-01-01,-18.981895446777344
1980-01-02,-20.738006591796875
1980-01-03,-21.304407119750977
1980-01-04,-20.185752868652344
1980-01-05,-19.409337997436523
1980-01-06,-19.313867568969727
1980-01-07,-21.09377098083496
1980-01-08,-22.40665054321289
1980-01-09,-20.003971099853516
1980-01-10,-19.8040714263916
1980-01-11,-20.741954803466797
1980-01-12,-24.178436279296875
1980-01-13,-24.22840690612793
1980-01-14,-21.96818733215332
1980-01-15,-18.889936447143555
1980-01-16,-19.901912689208984
1980-01-17,-19.655000686645508
1980-01-18,-20.017614364624023
1980-01-19,-24.250808715820312
1980-01-20,-21.112306594848633
1980-01-21,-17.612085342407227
1980-01-22,-19.51418685913086
1980-01-23,-17.81385040283203
1980-01-24,-20.038280487060547
1980-01-25,-24.643339157104492
1980-01-26,-27.775094985961914
1980-01-27,-32.7321891784668
1980-01-28,-32.24362564086914
1980-01-29,-32.20172882080078
1980-01-30,-31.886486053466797
1980-01-31,-31.63678741455078
1980-02-01,-29.225513458251953
1980-02-02,-31.781919479370117
1980-02-03,-30.1527099609375
1980-02-04,-30.411705017089844
1980-02-05,-29.45274543762207
1980-02-06,-31.108034133911133
1980-02-07,-30.46697235107422
1980-02-08,-29.805675506591797
1980-02-09,-29.567995071411133
1980-02-10,-29.92493438720703
1980-02-11,-29.404415130615234
1980-02-12,-28.11026382446289
1980-02-13,-26.784896850585938
1980-02-14,-24.248125076293945
1980-02-15,-19.845369338989258
1980-02-16,-17.505016326904297
1980-02-17,-17.569618225097656
1980-02-18,-16.272130966186523
1980-02-19,-18.592811584472656
1980-02-20,-16.193458557128906
1980-02-21,-11.844385147094727
1980-02-22,-11.113100051879883
1980-02-23,-15.73608112335205
1980-02-24,-18.231000900268555
1980-02-25,-15.294478416442871
1980-02-26,-15.086896896362305
1980-02-27,-16.429508209228516
1980-02-28,-15.830635070800781
1980-02-29,-16.085092544555664
1980-03-01,-17.298927307128906
1980-03-02,-17.595840454101562
1980-03-03,-17.28563690185547
1980-03-04,-16.65274429321289
1980-03-05,-15.59921932220459
1980-03-06,-16.503042221069336
1980-03-07,-19.952760696411133
1980-03-08,-24.00229263305664
1980-03-09,-24.835329055786133
1980-03-10,-25.71690559387207
1980-03-11,-21.7338924407959
1980-03-12,-19.02229881286621
1980-03-13,-18.89250946044922
1980-03-14,-18.29840850830078
1980-03-15,-17.967702865600586
1980-03-16,-15.964397430419922
1980-03-17,-14.445847511291504
1980-03-18,-16.872297286987305
1980-03-19,-17.97392463684082
1980-03-20,-18.013296127319336
1980-03-21,-17.571453094482422
1980-03-22,-13.131062507629395
1980-03-23,-11.793684959411621
1980-03-24,-11.27000617980957
1980-03-25,-7.926260948181152
1980-03-26,-9.233903884887695
1980-03-27,-13.705641746520996
1980-03-28,-13.686212539672852
1980-03-29,-12.480380058288574
1980-03-30,-12.87439250946045
1980-03-31,-9.856161117553711
1980-04-01,-6.303923606872559
1980-04-02,-10.551409721374512
1980-04-03,-15.71295166015625
1980-04-04,-16.19088363647461
1980-04-05,-14.017319679260254
1980-04-06,-11.981611251831055
1980-04-07,-8.82723617553711
1980-04-08,-4.725809097290039
1980-04-09,-6.074886322021484
1980-04-10,-9.350732803344727
1980-04-11,-7.771523952484131
1980-04-12,-5.498860836029053
1980-04-13,-1.7075119018554688
1980-04-14,0.7162296175956726
1980-04-15,3.9643938541412354
1980-04-16,3.571568727493286
1980-04-17,-5.2268524169921875
1980-04-18,-6.11195707321167
1980-04-19,-3.5159049034118652
1980-04-20,-3.1760151386260986
1980-04-21,-3.3316009044647217
1980-04-22,-3.6259772777557373
1980-04-23,-1.7811213731765747
1980-04-24,-0.7453937530517578
1980-04-25,-0.22715966403484344
1980-04-26,-3.257939577102661
1980-04-27,0.45129773020744324
1980-04-28,1.3297808170318604
1980-04-29,4.528069496154785
1980-04-30,-0.6576904058456421
1980-05-01,-3.1656477451324463
1980-05-02,-5.913155555725098
1980-05-03,-3.237840414047241
1980-05-04,3.6543564796447754
1980-05-05,2.429811954498291
1980-05-06,5.5772624015808105
1980-05-07,4.5369744300842285
1980-05-08,7.4308977127075195
1980-05-09,7.390639781951904
1980-05-10,3.668372631072998
1980-05-11,5.35603666305542
1980-05-12,2.9744186401367188
1980-05-13,3.065993070602417
1980-05-14,6.841274261474609
1980-05-15,9.099021911621094
1980-05-16,7.680947780609131
1980-05-17,8.015304565429688
1980-05-18,7.926071643829346
1980-05-19,7.304491996765137
1980-05-20,7.043964862823486
1980-05-21,5.8712944984436035
1980-05-22,4.125522136688232
1980-05-23,6.53243350982666
1980-05-24,6.239956855773926
1980-05-25,13.36040210723877
1980-05-26,16.14280128479004
1980-05-27,8.533227920532227
1980-05-28,0.41883787512779236
1980-05-29,0.6440398097038269
1980-05-30,3.7255666255950928
1980-05-31,8.012747764587402
1980-06-01,12.465498924255371
1980-06-02,8.805685043334961
1980-06-03,5.441679000854492
1980-06-04,6.116446495056152
1980-06-05,7.002578258514404
1980-06-06,3.2576940059661865
1980-06-07,4.633069038391113
1980-06-08,5.318217754364014
1980-06-09,9.031170845031738
1980-06-10,8.674864768981934
1980-06-11,9.410239219665527
1980-06-12,6.571435451507568
1980-06-13,5.030900001525879
1980-06-14,8.566737174987793
1980-06-15,11.679168701171875
1980-06-16,13.542606353759766
1980-06-17,13.249114990234375
1980-06-18,13.794425964355469
1980-06-19,15.621573448181152
1980-06-20,16.01971435546875
1980-06-21,16.13663673400879
1980-06-22,13.245306015014648
1980-06-23,14.425577163696289
1980-06-24,14.742156982421875
1980-06-25,12.138134956359863
1980-06-26,9.31973648071289
1980-06-27,10.024170875549316
1980-06-28,8.074763298034668
1980-06-29,8.4163818359375
1980-06-30,7.091092109680176
1980-07-01,9.099023818969727
1980-07-02,11.930059432983398
1980-07-03,13.328592300415039
1980-07-04,14.585792541503906
1980-07-05,13.787607192993164
1980-07-06,15.043120384216309
1980-07-07,15.693130493164062
1980-07-08,14.328489303588867
1980-07-09,13.992780685424805
1980-07-10,14.579305648803711
1980-07-11,13.547001838684082
1980-07-12,9.017407417297363
1980-07-13,8.010953903198242
1980-07-14,11.629975318908691
1980-07-15,7.292910099029541
1980-07-16,7.759999752044678
1980-07-17,10.760027885437012
1980-07-18,15.198893547058105
1980-07-19,11.890689849853516
1980-07-20,9.440122604370117
1980-07-21,9.3765230178833
1980-07-22,10.621674537658691
1980-07-23,12.333873748779297
1980-07-24,13.686245918273926
1980-07-25,14.078100204467773
1980-07-26,8.535310745239258
1980-07-27,9.456984519958496
1980-07-28,11.660982131958008
1980-07-29,4.618386268615723
1980-07-30,4.987269878387451
1980-07-31,5.99924373626709
1980-08-01,7.889573097229004
1980-08-02,11.482641220092773
1980-08-03,9.464884757995605
1980-08-04,9.828997611999512
1980-08-05,12.03454875946045
1980-08-06,7.45272159576416
1980-08-07,4.507234573364258
1980-08-08,4.597297668457031
1980-08-09,7.03994607925415
1980-08-10,10.815996170043945
1980-08-11,12.769418716430664
1980-08-12,13.404830932617188
1980-08-13,13.43984317779541
1980-08-14,13.511739730834961
1980-08-15,12.735679626464844
1980-08-16,13.232197761535645
1980-08-17,12.122992515563965
1980-08-18,11.834614753723145
1980-08-19,12.12053108215332
1980-08-20,11.402670860290527
1980-08-21,13.5139799118042
1980-08-22,14.301190376281738
1980-08-23,13.12524127960205
1980-08-24,11.746743202209473
