,Average_Temparature
1980-01-01,-18.228883743286133
1980-01-02,-15.328123092651367
1980-01-03,-14.142871856689453
1980-01-04,-18.160171508789062
1980-01-05,-14.75522518157959
1980-01-06,-17.58709716796875
1980-01-07,-21.04764747619629
1980-01-08,-23.27785873413086
1980-01-09,-10.848626136779785
1980-01-10,-15.69758129119873
1980-01-11,-14.36426067352295
1980-01-12,-12.088017463684082
1980-01-13,-10.943132400512695
1980-01-14,-7.999940872192383
1980-01-15,-25.576114654541016
1980-01-16,-24.43258285522461
1980-01-17,-12.349166870117188
1980-01-18,-14.911949157714844
1980-01-19,-17.751197814941406
1980-01-20,-10.124088287353516
1980-01-21,-9.45870590209961
1980-01-22,-11.784263610839844
1980-01-23,-9.978185653686523
1980-01-24,-17.898235321044922
1980-01-25,-31.086610794067383
1980-01-26,-32.59678268432617
1980-01-27,-32.9560432434082
1980-01-28,-29.477243423461914
1980-01-29,-26.165870666503906
1980-01-30,-22.320697784423828
1980-01-31,-21.167482376098633
1980-02-01,-21.479454040527344
1980-02-02,-19.647258758544922
1980-02-03,-20.706270217895508
1980-02-04,-20.7319278717041
1980-02-05,-18.301511764526367
1980-02-06,-22.979204177856445
1980-02-07,-24.816246032714844
1980-02-08,-25.227123260498047
1980-02-09,-25.517562866210938
1980-02-10,-25.750173568725586
1980-02-11,-24.802539825439453
1980-02-12,-24.220550537109375
1980-02-13,-20.424148559570312
1980-02-14,-14.51646614074707
1980-02-15,-14.577012062072754
1980-02-16,-18.555076599121094
1980-02-17,-17.013896942138672
1980-02-18,-14.41384220123291
1980-02-19,-13.439189910888672
1980-02-20,-10.896361351013184
1980-02-21,-4.7919769287109375
1980-02-22,-11.63914966583252
1980-02-23,-14.810070991516113
1980-02-24,-13.343586921691895
1980-02-25,-8.313222885131836
1980-02-26,-15.761574745178223
1980-02-27,-14.85692024230957
1980-02-28,-14.285748481750488
1980-02-29,-12.093852996826172
1980-03-01,-12.875245094299316
1980-03-02,-14.393898963928223
1980-03-03,-14.72923755645752
1980-03-04,-10.573972702026367
1980-03-05,-10.591310501098633
1980-03-06,-16.145307540893555
1980-03-07,-18.847349166870117
1980-03-08,-19.7450008392334
1980-03-09,-18.133756637573242
1980-03-10,-14.892967224121094
1980-03-11,-14.42809009552002
1980-03-12,-13.237958908081055
1980-03-13,-14.53476619720459
1980-03-14,-12.24462604522705
1980-03-15,-11.840721130371094
1980-03-16,-10.653722763061523
1980-03-17,-12.527917861938477
1980-03-18,-14.404128074645996
1980-03-19,-12.731897354125977
1980-03-20,-10.878412246704102
1980-03-21,-9.149591445922852
1980-03-22,-6.100093364715576
1980-03-23,-6.93904447555542
1980-03-24,-3.7846996784210205
1980-03-25,-1.83781898021698
1980-03-26,-8.516236305236816
1980-03-27,-9.771145820617676
1980-03-28,-8.42440128326416
1980-03-29,-7.479450702667236
1980-03-30,-3.750396490097046
1980-03-31,-0.7975345849990845
1980-04-01,-5.338974952697754
1980-04-02,-16.063980102539062
1980-04-03,-15.448582649230957
1980-04-04,-13.726485252380371
1980-04-05,-13.317937850952148
1980-04-06,-8.648721694946289
1980-04-07,-3.6146762371063232
1980-04-08,-3.9110147953033447
1980-04-09,-3.8981072902679443
1980-04-10,-4.314874649047852
1980-04-11,-1.218223214149475
1980-04-12,1.12220299243927
1980-04-13,1.4984381198883057
1980-04-14,8.1226806640625
1980-04-15,5.512486457824707
1980-04-16,1.8342807292938232
1980-04-17,-2.027383327484131
1980-04-18,-1.585336685180664
1980-04-19,0.8332534432411194
1980-04-20,1.2852303981781006
1980-04-21,2.294205904006958
1980-04-22,3.340165853500366
1980-04-23,5.625647068023682
1980-04-24,6.799465656280518
1980-04-25,3.1361992359161377
1980-04-26,3.946546792984009
1980-04-27,8.760086059570312
1980-04-28,10.327462196350098
1980-04-29,2.6069016456604004
1980-04-30,0.08754685521125793
1980-05-01,-0.6955011487007141
1980-05-02,1.6335396766662598
1980-05-03,4.418421745300293
1980-05-04,5.266498565673828
1980-05-05,5.981721878051758
1980-05-06,17.13670539855957
1980-05-07,8.203902244567871
1980-05-08,12.839696884155273
1980-05-09,5.48768424987793
1980-05-10,7.641386032104492
1980-05-11,7.705722808837891
1980-05-12,7.492233753204346
1980-05-13,11.40798282623291
1980-05-14,14.728034973144531
1980-05-15,16.235145568847656
1980-05-16,12.96310806274414
1980-05-17,15.199640274047852
1980-05-18,7.030007362365723
1980-05-19,11.499458312988281
1980-05-20,13.196181297302246
1980-05-21,6.772089004516602
1980-05-22,8.757222175598145
1980-05-23,11.713595390319824
1980-05-24,17.37807273864746
1980-05-25,22.835277557373047
1980-05-26,19.368635177612305
1980-05-27,9.124927520751953
1980-05-28,4.71223783493042
1980-05-29,5.699973106384277
1980-05-30,9.97683048248291
1980-05-31,15.40549087524414
1980-06-01,19.21891975402832
1980-06-02,13.43758487701416
1980-06-03,9.753630638122559
1980-06-04,9.554156303405762
1980-06-05,10.284965515136719
1980-06-06,12.047536849975586
1980-06-07,11.558836936950684
1980-06-08,12.34313678741455
1980-06-09,14.822418212890625
1980-06-10,16.556041717529297
1980-06-11,14.179715156555176
1980-06-12,11.133370399475098
1980-06-13,13.699793815612793
1980-06-14,16.1413516998291
1980-06-15,20.904685974121094
1980-06-16,21.924102783203125
1980-06-17,21.828603744506836
1980-06-18,23.038610458374023
1980-06-19,23.997329711914062
1980-06-20,22.461532592773438
1980-06-21,23.460569381713867
1980-06-22,19.896381378173828
1980-06-23,18.439739227294922
1980-06-24,16.687541961669922
1980-06-25,15.49671459197998
1980-06-26,14.71069049835205
1980-06-27,13.936708450317383
1980-06-28,12.635723114013672
1980-06-29,14.053825378417969
1980-06-30,16.198488235473633
1980-07-01,17.69158363342285
1980-07-02,20.569746017456055
1980-07-03,20.993179321289062
1980-07-04,21.9947509765625
1980-07-05,22.41497039794922
1980-07-06,23.9389591217041
1980-07-07,22.703561782836914
1980-07-08,17.23900604248047
1980-07-09,18.008838653564453
1980-07-10,19.715055465698242
1980-07-11,17.62751007080078
1980-07-12,13.191165924072266
1980-07-13,15.288015365600586
1980-07-14,15.415094375610352
1980-07-15,12.639843940734863
1980-07-16,14.537095069885254
1980-07-17,18.129281997680664
1980-07-18,22.615957260131836
1980-07-19,17.847187042236328
1980-07-20,14.51246452331543
1980-07-21,15.080286026000977
1980-07-22,17.2495059967041
1980-07-23,19.62239646911621
1980-07-24,18.393043518066406
1980-07-25,17.058155059814453
1980-07-26,14.320428848266602
1980-07-27,15.48421859741211
1980-07-28,12.778556823730469
1980-07-29,10.245763778686523
1980-07-30,11.813702583312988
1980-07-31,13.747602462768555
1980-08-01,15.478782653808594
1980-08-02,18.624910354614258
1980-08-03,11.892729759216309
1980-08-04,14.231595039367676
1980-08-05,12.824469566345215
1980-08-06,8.56743049621582
1980-08-07,8.749213218688965
1980-08-08,10.776416778564453
1980-08-09,14.325054168701172
1980-08-10,15.789996147155762
1980-08-11,18.538753509521484
1980-08-12,18.656681060791016
1980-08-13,17.139808654785156
1980-08-14,16.204477310180664
1980-08-15,17.86939811706543
1980-08-16,16.866943359375
1980-08-17,17.195659637451172
1980-08-18,12.064784049987793
1980-08-19,11.49417495727539
1980-08-20,14.467284202575684
1980-08-21,17.40287208557129
1980-08-22,21.22624969482422
1980-08-23,14.205161094665527
1980-08-24,13.799300193786621
1980-08-25,16.36164093017578
1980-08-26,16.79777717590332
1980-08-27,14.24200439453125
1980-08-28,13.140887260437012
1980-08-29,15.2623929977417
1980-08-30,18.787763595581055
1980-08-31,12.876867294311523
1980-09-01,10.177340507507324
1980-09-02,10.920648574829102
1980-09-03,8.50620174407959
1980-09-04,13.665276527404785
1980-09-05,15.35779094696045
1980-09-06,17.988597869873047
1980-09-07,8.742895126342773
1980-09-08,7.657558441162109
1980-09-09,5.029898643493652
1980-09-10,10.181540489196777
1980-09-11,8.374017715454102
1980-09-12,8.309672355651855
1980-09-13,10.444707870483398
1980-09-14,13.84859848022461
1980-09-15,13.994035720825195
1980-09-16,12.6543607711792
1980-09-17,7.121030330657959
1980-09-18,5.909849643707275
1980-09-19,7.448861122131348
1980-09-20,8.14586353302002
1980-09-21,9.59647274017334
1980-09-22,9.887113571166992
1980-09-23,13.145101547241211
1980-09-24,12.877643585205078
1980-09-25,11.004297256469727
1980-09-26,12.575629234313965
1980-09-27,7.987276077270508
1980-09-28,6.676562309265137
1980-09-29,4.137426376342773
1980-09-30,2.7527122497558594
1980-10-01,2.871260643005371
1980-10-02,0.8178916573524475
1980-10-03,0.9128694534301758
1980-10-04,0.4502400755882263
1980-10-05,0.36689111590385437
1980-10-06,0.36428961157798767
1980-10-07,-1.277397632598877
1980-10-08,-0.7332339882850647
1980-10-09,-0.6854814291000366
1980-10-10,-1.3755251169204712
1980-10-11,-3.4370152950286865
1980-10-12,1.9452568292617798
1980-10-13,2.250182628631592
1980-10-14,1.9853240251541138
1980-10-15,2.6084036827087402
1980-10-16,3.722731113433838
1980-10-17,-0.7190896272659302
1980-10-18,-0.6803655624389648
1980-10-19,0.7134928107261658
1980-10-20,2.49648380279541
1980-10-21,1.5783629417419434
1980-10-22,2.7605161666870117
1980-10-23,3.197831153869629
1980-10-24,5.185684680938721
1980-10-25,1.2874170541763306
1980-10-26,-0.3806319534778595
1980-10-27,0.4376949965953827
1980-10-28,0.6680957674980164
1980-10-29,0.17535917460918427
1980-10-30,2.9474246501922607
1980-10-31,3.9226913452148438
1980-11-01,4.822396278381348
1980-11-02,-1.5944772958755493
1980-11-03,-3.0583393573760986
1980-11-04,-1.9231091737747192
1980-11-05,-8.826766967773438
1980-11-06,-9.764435768127441
1980-11-07,0.08217108994722366
1980-11-08,-2.5651021003723145
1980-11-09,-6.3976826667785645
1980-11-10,-11.22984790802002
1980-11-11,-8.152520179748535
1980-11-12,-0.0032805984374135733
1980-11-13,0.4651045799255371
1980-11-14,-2.348332166671753
1980-11-15,-1.7682691812515259
1980-11-16,-0.6339506506919861
1980-11-17,-6.054529666900635
1980-11-18,-15.103677749633789
1980-11-19,-14.92406177520752
1980-11-20,-7.5059990882873535
1980-11-21,-6.737183094024658
1980-11-22,-10.846920013427734
1980-11-23,-11.317425727844238
1980-11-24,-5.659369945526123
1980-11-25,-1.6244783401489258
1980-11-26,-1.0014982223510742
1980-11-27,-3.9323997497558594
1980-11-28,-8.363896369934082
1980-11-29,-7.73201847076416
1980-11-30,-24.721017837524414
1980-12-01,-20.65167808532715
1980-12-02,-14.096400260925293
1980-12-03,-8.11996078491211
1980-12-04,-18.40943145751953
1980-12-05,-16.56387710571289
1980-12-06,-12.247269630432129
1980-12-07,-14.395988464355469
1980-12-08,-8.5964937210083
1980-12-09,-5.947118759155273
1980-12-10,-9.819106101989746
1980-12-11,-10.521506309509277
1980-12-12,-3.5498850345611572
1980-12-13,-2.4590203762054443
1980-12-14,-15.108160018920898
1980-12-15,-14.67415714263916
1980-12-16,-12.137178421020508
1980-12-17,-9.858572006225586
1980-12-18,-8.65289306640625
1980-12-19,-7.665075778961182
1980-12-20,-9.88345718383789
1980-12-21,-10.429457664489746
1980-12-22,-11.69166374206543
1980-12-23,-18.60411834716797
1980-12-24,-20.234025955200195
1980-12-25,-24.997220993041992
1980-12-26,-23.746301651000977
1980-12-27,-12.217817306518555
1980-12-28,-7.206372261047363
1980-12-29,-6.37659215927124
1980-12-30,-18.06840705871582
1980-12-31,-16.252561569213867
