,Average_Temparature
1980-01-01,-9.102171897888184
1980-01-02,-12.631108283996582
1980-01-03,-14.142796516418457
1980-01-04,-16.26328468322754
1980-01-05,-20.795679092407227
1980-01-06,-20.663522720336914
1980-01-07,-19.573474884033203
1980-01-08,-14.256681442260742
1980-01-09,-5.670305252075195
1980-01-10,-12.43417739868164
1980-01-11,-10.133909225463867
1980-01-12,-12.42721176147461
1980-01-13,-8.549036979675293
1980-01-14,-5.631816387176514
1980-01-15,-17.476093292236328
1980-01-16,-15.641971588134766
1980-01-17,-9.945062637329102
1980-01-18,-13.358264923095703
1980-01-19,-14.187657356262207
1980-01-20,-7.031811237335205
1980-01-21,-8.320326805114746
1980-01-22,-8.026154518127441
1980-01-23,-8.585000038146973
1980-01-24,-15.043291091918945
1980-01-25,-23.981000900268555
1980-01-26,-28.980993270874023
1980-01-27,-28.48431396484375
1980-01-28,-26.468408584594727
1980-01-29,-27.382732391357422
1980-01-30,-26.35735321044922
1980-01-31,-25.10969352722168
1980-02-01,-21.07102394104004
1980-02-02,-19.789846420288086
1980-02-03,-21.51583480834961
1980-02-04,-21.425464630126953
1980-02-05,-18.885761260986328
1980-02-06,-22.512413024902344
1980-02-07,-22.906448364257812
1980-02-08,-21.701858520507812
1980-02-09,-23.959009170532227
1980-02-10,-24.312225341796875
1980-02-11,-23.797992706298828
1980-02-12,-20.309690475463867
1980-02-13,-15.563257217407227
1980-02-14,-10.961509704589844
1980-02-15,-11.660318374633789
1980-02-16,-13.211570739746094
1980-02-17,-12.651325225830078
1980-02-18,-11.044100761413574
1980-02-19,-9.918027877807617
1980-02-20,-3.8828377723693848
1980-02-21,-1.8847588300704956
1980-02-22,-10.19686222076416
1980-02-23,-12.053895950317383
1980-02-24,-8.415945053100586
1980-02-25,-7.795312404632568
1980-02-26,-15.375568389892578
1980-02-27,-20.193647384643555
1980-02-28,-20.868040084838867
1980-02-29,-18.084884643554688
1980-03-01,-17.377761840820312
1980-03-02,-17.33342742919922
1980-03-03,-15.816027641296387
1980-03-04,-12.077868461608887
1980-03-05,-9.073534965515137
1980-03-06,-14.05985164642334
1980-03-07,-18.523853302001953
1980-03-08,-19.15841293334961
1980-03-09,-18.500816345214844
1980-03-10,-17.501895904541016
1980-03-11,-17.51497459411621
1980-03-12,-16.723604202270508
1980-03-13,-15.182652473449707
1980-03-14,-15.000391006469727
1980-03-15,-12.995301246643066
1980-03-16,-8.12888240814209
1980-03-17,-11.991454124450684
1980-03-18,-12.402886390686035
1980-03-19,-13.485167503356934
1980-03-20,-10.862226486206055
1980-03-21,-5.074766159057617
1980-03-22,-1.8031648397445679
1980-03-23,-5.4129414558410645
1980-03-24,-1.3818739652633667
1980-03-25,0.8412078619003296
1980-03-26,-6.128817558288574
1980-03-27,-8.690460205078125
1980-03-28,-6.4511942863464355
1980-03-29,-6.02183723449707
1980-03-30,-3.044562339782715
1980-03-31,2.152409791946411
1980-04-01,-0.11832140386104584
1980-04-02,-7.079985618591309
1980-04-03,-10.191412925720215
1980-04-04,-7.361129283905029
1980-04-05,-5.8019938468933105
1980-04-06,-3.437924385070801
1980-04-07,1.5756810903549194
1980-04-08,0.6958721876144409
1980-04-09,-1.4276610612869263
1980-04-10,-0.5761996507644653
1980-04-11,0.6147546768188477
1980-04-12,4.611388206481934
1980-04-13,8.424722671508789
1980-04-14,13.237079620361328
1980-04-15,14.88064193725586
1980-04-16,7.268917083740234
1980-04-17,3.934201717376709
1980-04-18,3.345844030380249
1980-04-19,4.1822614669799805
1980-04-20,3.2706079483032227
1980-04-21,3.233497381210327
1980-04-22,5.314285755157471
1980-04-23,7.266305446624756
1980-04-24,8.13288402557373
1980-04-25,4.681147575378418
1980-04-26,4.756265640258789
1980-04-27,9.367420196533203
1980-04-28,11.484173774719238
1980-04-29,9.666031837463379
1980-04-30,2.6855833530426025
1980-05-01,2.649578809738159
1980-05-02,4.0565643310546875
1980-05-03,9.065617561340332
1980-05-04,14.44570541381836
1980-05-05,13.212101936340332
1980-05-06,18.74576187133789
1980-05-07,15.779011726379395
1980-05-08,18.91217613220215
1980-05-09,12.149438858032227
1980-05-10,10.655874252319336
1980-05-11,13.320072174072266
1980-05-12,12.259082794189453
1980-05-13,13.635542869567871
1980-05-14,16.163036346435547
1980-05-15,17.592880249023438
1980-05-16,16.8549747467041
1980-05-17,19.952293395996094
1980-05-18,16.337894439697266
