,Average_Temparature
1980-01-01,-27.30596923828125
1980-01-02,-30.246740341186523
1980-01-03,-30.307998657226562
1980-01-04,-26.43264389038086
1980-01-05,-26.13343048095703
1980-01-06,-25.249155044555664
1980-01-07,-27.727584838867188
1980-01-08,-36.83462905883789
1980-01-09,-36.747703552246094
1980-01-10,-29.688234329223633
1980-01-11,-29.32391929626465
1980-01-12,-34.63930130004883
1980-01-13,-36.818931579589844
1980-01-14,-34.93304443359375
1980-01-15,-31.413549423217773
1980-01-16,-28.987470626831055
1980-01-17,-29.94442367553711
1980-01-18,-26.877731323242188
1980-01-19,-30.09565544128418
1980-01-20,-32.15922927856445
1980-01-21,-27.025724411010742
1980-01-22,-27.166339874267578
1980-01-23,-28.427419662475586
1980-01-24,-23.89706802368164
1980-01-25,-24.976730346679688
1980-01-26,-30.687742233276367
1980-01-27,-35.671749114990234
1980-01-28,-40.12632751464844
1980-01-29,-42.14944076538086
1980-01-30,-41.369014739990234
1980-01-31,-38.318870544433594
1980-02-01,-37.016876220703125
1980-02-02,-39.30634307861328
1980-02-03,-39.700260162353516
1980-02-04,-38.36072540283203
1980-02-05,-37.8017692565918
1980-02-06,-37.08917999267578
1980-02-07,-35.33608627319336
1980-02-08,-35.20629119873047
1980-02-09,-35.01064682006836
1980-02-10,-34.32572937011719
1980-02-11,-34.62013244628906
1980-02-12,-34.045867919921875
1980-02-13,-33.67828369140625
1980-02-14,-32.24740982055664
1980-02-15,-27.431243896484375
1980-02-16,-25.40865135192871
1980-02-17,-22.743066787719727
1980-02-18,-22.26136589050293
1980-02-19,-26.299015045166016
1980-02-20,-26.029354095458984
1980-02-21,-21.724458694458008
1980-02-22,-17.6257266998291
1980-02-23,-15.724967956542969
1980-02-24,-20.997173309326172
1980-02-25,-20.904190063476562
1980-02-26,-21.00285530090332
1980-02-27,-20.178754806518555
1980-02-28,-19.513832092285156
1980-02-29,-21.565364837646484
1980-03-01,-21.18758773803711
1980-03-02,-18.620296478271484
1980-03-03,-21.05104637145996
1980-03-04,-22.82150650024414
1980-03-05,-22.284408569335938
1980-03-06,-22.4073543548584
1980-03-07,-26.66809844970703
1980-03-08,-28.609384536743164
1980-03-09,-29.75307273864746
1980-03-10,-29.574695587158203
1980-03-11,-27.71138572692871
1980-03-12,-25.11858367919922
1980-03-13,-23.317935943603516
1980-03-14,-22.840726852416992
1980-03-15,-23.52772331237793
1980-03-16,-21.474363327026367
1980-03-17,-16.275081634521484
1980-03-18,-16.79233741760254
1980-03-19,-20.225078582763672
1980-03-20,-23.317352294921875
1980-03-21,-22.304462432861328
1980-03-22,-19.780494689941406
1980-03-23,-16.521961212158203
1980-03-24,-16.370868682861328
1980-03-25,-13.29178524017334
1980-03-26,-11.333148002624512
1980-03-27,-14.13401985168457
1980-03-28,-18.00109100341797
1980-03-29,-18.057222366333008
1980-03-30,-17.6909236907959
1980-03-31,-14.722379684448242
1980-04-01,-8.718563079833984
1980-04-02,-8.885019302368164
1980-04-03,-18.657054901123047
1980-04-04,-20.33273696899414
1980-04-05,-20.972068786621094
1980-04-06,-19.475419998168945
1980-04-07,-16.040510177612305
1980-04-08,-9.753092765808105
1980-04-09,-7.235511302947998
1980-04-10,-9.76301097869873
1980-04-11,-11.622246742248535
1980-04-12,-9.392972946166992
1980-04-13,-5.591546058654785
1980-04-14,-4.6886796951293945
1980-04-15,-3.2805066108703613
1980-04-16,-0.5925753712654114
1980-04-17,-6.022475242614746
1980-04-18,-10.260265350341797
1980-04-19,-7.655247688293457
1980-04-20,-4.973056316375732
1980-04-21,-5.213285446166992
1980-04-22,-5.18306827545166
1980-04-23,-3.533674478530884
1980-04-24,-3.034719705581665
1980-04-25,-0.87990802526474
1980-04-26,-3.86722993850708
1980-04-27,-1.8994824886322021
1980-04-28,0.15395039319992065
1980-04-29,1.4751381874084473
1980-04-30,2.6149091720581055
1980-05-01,-4.0906758308410645
1980-05-02,-6.838465690612793
1980-05-03,-6.097406387329102
1980-05-04,-2.560967445373535
1980-05-05,-2.0691349506378174
1980-05-06,1.0272101163864136
1980-05-07,4.4101128578186035
1980-05-08,6.593442916870117
1980-05-09,9.52039623260498
1980-05-10,2.2891879081726074
1980-05-11,1.6136345863342285
1980-05-12,-0.22001060843467712
1980-05-13,-1.0824878215789795
1980-05-14,3.221879720687866
1980-05-15,5.6480793952941895
1980-05-16,6.94198751449585
1980-05-17,5.325887203216553
1980-05-18,7.512192249298096
1980-05-19,5.097902774810791
1980-05-20,7.0242462158203125
1980-05-21,6.581171989440918
1980-05-22,4.865201950073242
1980-05-23,3.090205430984497
1980-05-24,2.5432493686676025
1980-05-25,8.024787902832031
1980-05-26,14.258085250854492
1980-05-27,7.810119152069092
1980-05-28,2.1869852542877197
1980-05-29,-1.079969882965088
1980-05-30,-0.8423916101455688
1980-05-31,4.665398597717285
1980-06-01,10.09268856048584
1980-06-02,9.652785301208496
1980-06-03,5.374879360198975
1980-06-04,5.4508056640625
1980-06-05,10.857558250427246
1980-06-06,3.1911442279815674
1980-06-07,3.422234296798706
1980-06-08,5.376710414886475
1980-06-09,5.823764801025391
1980-06-10,7.603358268737793
1980-06-11,8.528873443603516
1980-06-12,8.164348602294922
1980-06-13,4.298606872558594
1980-06-14,6.522465705871582
1980-06-15,10.25732707977295
1980-06-16,11.674787521362305
1980-06-17,14.607660293579102
1980-06-18,13.759243965148926
1980-06-19,15.455157279968262
1980-06-20,14.81475830078125
1980-06-21,16.82210922241211
1980-06-22,15.339861869812012
1980-06-23,12.790934562683105
1980-06-24,13.347893714904785
1980-06-25,9.81584358215332
1980-06-26,9.017414093017578
1980-06-27,9.476363182067871
1980-06-28,8.574258804321289
1980-06-29,7.400514125823975
1980-06-30,8.195902824401855
1980-07-01,8.922609329223633
1980-07-02,10.926465034484863
1980-07-03,12.284320831298828
1980-07-04,13.538237571716309
1980-07-05,13.687417984008789
1980-07-06,14.642087936401367
1980-07-07,15.370674133300781
1980-07-08,14.352898597717285
1980-07-09,14.001766204833984
1980-07-10,14.061213493347168
1980-07-11,15.669483184814453
1980-07-12,10.77951431274414
1980-07-13,8.168867111206055
1980-07-14,10.239398956298828
1980-07-15,7.883094310760498
1980-07-16,7.238588809967041
1980-07-17,8.218239784240723
1980-07-18,11.843297004699707
1980-07-19,15.261543273925781
1980-07-20,9.252615928649902
1980-07-21,9.40549087524414
1980-07-22,9.74280834197998
1980-07-23,12.490208625793457
1980-07-24,11.83154010772705
1980-07-25,13.493639945983887
1980-07-26,10.14140510559082
1980-07-27,7.105960845947266
1980-07-28,9.270825386047363
1980-07-29,6.1194586753845215
1980-07-30,3.804799795150757
1980-07-31,4.058448791503906
1980-08-01,3.8852272033691406
1980-08-02,9.354133605957031
1980-08-03,9.437664031982422
1980-08-04,8.692146301269531
1980-08-05,8.60015869140625
1980-08-06,10.147366523742676
1980-08-07,8.346219062805176
1980-08-08,3.302942991256714
1980-08-09,3.106276035308838
1980-08-10,6.412569046020508
1980-08-11,10.878824234008789
1980-08-12,11.396257400512695
1980-08-13,12.519773483276367
1980-08-14,12.63766860961914
1980-08-15,13.581511497497559
1980-08-16,15.88449478149414
1980-08-17,12.315417289733887
1980-08-18,11.19918155670166
1980-08-19,12.034308433532715
1980-08-20,11.471834182739258
1980-08-21,11.687060356140137
1980-08-22,13.908236503601074
1980-08-23,14.12375259399414
1980-08-24,13.26513957977295
1980-08-25,12.257817268371582
1980-08-26,12.132892608642578
1980-08-27,9.051286697387695
1980-08-28,8.385683059692383
1980-08-29,8.771393775939941
1980-08-30,9.053836822509766
1980-08-31,11.411020278930664
1980-09-01,1.1075741052627563
1980-09-02,2.2860844135284424
1980-09-03,2.4010612964630127
1980-09-04,3.5583906173706055
1980-09-05,6.053706169128418
1980-09-06,7.875773906707764
1980-09-07,8.457380294799805
1980-09-08,8.512264251708984
1980-09-09,1.4056572914123535
1980-09-10,0.37730470299720764
1980-09-11,4.117979526519775
1980-09-12,2.2979648113250732
1980-09-13,1.1966766119003296
1980-09-14,1.7883938550949097
1980-09-15,3.4432647228240967
1980-09-16,5.200351238250732
1980-09-17,1.5848878622055054
1980-09-18,-2.5517611503601074
1980-09-19,-2.3103244304656982
1980-09-20,-2.1313250064849854
1980-09-21,0.23549479246139526
1980-09-22,0.755416214466095
1980-09-23,2.1059792041778564
1980-09-24,4.688442230224609
1980-09-25,4.834258079528809
1980-09-26,1.0594019889831543
1980-09-27,1.749194622039795
1980-09-28,3.145293951034546
1980-09-29,3.7525999546051025
1980-09-30,0.247684046626091
1980-10-01,-3.322592258453369
1980-10-02,-6.830829620361328
1980-10-03,-5.559495449066162
1980-10-04,-5.633473873138428
1980-10-05,-5.865241050720215
1980-10-06,-7.040572643280029
1980-10-07,-5.19102668762207
1980-10-08,-6.046597957611084
1980-10-09,-9.491456031799316
1980-10-10,-9.913735389709473
1980-10-11,-7.857749938964844
1980-10-12,-5.606071949005127
1980-10-13,-5.430389881134033
1980-10-14,-6.007727146148682
1980-10-15,-5.611568927764893
1980-10-16,-4.87242317199707
1980-10-17,-4.367204189300537
1980-10-18,-7.336447238922119
1980-10-19,-9.546005249023438
1980-10-20,-8.355330467224121
1980-10-21,-6.080938339233398
1980-10-22,-5.492797374725342
1980-10-23,-5.673957824707031
1980-10-24,-8.27025318145752
1980-10-25,-8.911919593811035
1980-10-26,-8.934852600097656
1980-10-27,-10.651511192321777
1980-10-28,-10.129712104797363
1980-10-29,-11.733936309814453
1980-10-30,-12.742162704467773
1980-10-31,-12.71125602722168
1980-11-01,-13.59083366394043
1980-11-02,-11.430033683776855
1980-11-03,-8.38213062286377
1980-11-04,-10.375906944274902
1980-11-05,-10.378310203552246
1980-11-06,-16.83039093017578
1980-11-07,-16.77387046813965
1980-11-08,-11.470829963684082
1980-11-09,-12.560980796813965
1980-11-10,-16.82301139831543
1980-11-11,-21.35861587524414
1980-11-12,-18.4047794342041
1980-11-13,-12.48696231842041
1980-11-14,-9.657740592956543
1980-11-15,-8.579272270202637
1980-11-16,-10.606572151184082
1980-11-17,-11.840303421020508
1980-11-18,-9.293272972106934
1980-11-19,-17.79172706604004
1980-11-20,-24.634387969970703
1980-11-21,-19.95008659362793
1980-11-22,-20.24867820739746
1980-11-23,-24.685823440551758
1980-11-24,-25.856399536132812
1980-11-25,-25.413843154907227
1980-11-26,-20.072322845458984
1980-11-27,-19.00135040283203
1980-11-28,-19.086910247802734
1980-11-29,-19.13447380065918
1980-11-30,-17.90711784362793
1980-12-01,-28.746994018554688
1980-12-02,-29.919002532958984
1980-12-03,-25.309362411499023
1980-12-04,-20.72536849975586
1980-12-05,-21.239986419677734
1980-12-06,-19.799354553222656
1980-12-07,-21.3463191986084
1980-12-08,-26.27495002746582
1980-12-09,-24.381139755249023
1980-12-10,-22.311492919921875
1980-12-11,-26.15285301208496
1980-12-12,-28.884262084960938
1980-12-13,-26.629924774169922
1980-12-14,-24.507658004760742
1980-12-15,-24.712141036987305
1980-12-16,-28.325868606567383
1980-12-17,-29.109724044799805
1980-12-18,-32.058197021484375
1980-12-19,-30.015281677246094
1980-12-20,-24.775476455688477
1980-12-21,-22.968231201171875
1980-12-22,-23.802236557006836
1980-12-23,-24.945844650268555
1980-12-24,-33.48530960083008
1980-12-25,-34.907615661621094
1980-12-26,-37.12373733520508
1980-12-27,-37.870662689208984
1980-12-28,-30.13053321838379
1980-12-29,-25.109224319458008
1980-12-30,-24.582063674926758
1980-12-31,-32.098785400390625
