,Average_Temparature
1980-01-01,-24.478439331054688
1980-01-02,-27.874862670898438
1980-01-03,-28.57929039001465
1980-01-04,-25.448793411254883
1980-01-05,-25.277463912963867
1980-01-06,-23.202728271484375
1980-01-07,-25.77267074584961
1980-01-08,-32.27618408203125
1980-01-09,-31.538877487182617
1980-01-10,-26.12974739074707
1980-01-11,-27.508867263793945
1980-01-12,-30.1927433013916
1980-01-13,-33.859230041503906
1980-01-14,-31.372421264648438
1980-01-15,-27.525699615478516
1980-01-16,-26.89268684387207
1980-01-17,-26.696117401123047
1980-01-18,-24.938077926635742
1980-01-19,-28.843528747558594
1980-01-20,-29.628355026245117
1980-01-21,-24.391843795776367
1980-01-22,-25.38791275024414
1980-01-23,-25.69059944152832
1980-01-24,-22.203641891479492
1980-01-25,-22.170745849609375
1980-01-26,-28.579612731933594
1980-01-27,-33.593345642089844
1980-01-28,-36.15830612182617
1980-01-29,-38.45262145996094
1980-01-30,-38.14265823364258
1980-01-31,-35.41276168823242
1980-02-01,-34.65659713745117
1980-02-02,-36.70293045043945
1980-02-03,-36.05624771118164
1980-02-04,-35.076148986816406
1980-02-05,-34.40419006347656
1980-02-06,-34.99879455566406
1980-02-07,-33.36771774291992
1980-02-08,-32.74461364746094
1980-02-09,-33.11906051635742
1980-02-10,-31.94969940185547
1980-02-11,-31.830154418945312
1980-02-12,-31.14056968688965
1980-02-13,-31.232877731323242
1980-02-14,-29.19598388671875
1980-02-15,-24.994157791137695
1980-02-16,-22.015596389770508
1980-02-17,-20.181339263916016
1980-02-18,-19.932884216308594
1980-02-19,-23.698421478271484
1980-02-20,-22.4803524017334
1980-02-21,-19.917606353759766
1980-02-22,-15.193081855773926
1980-02-23,-14.432807922363281
1980-02-24,-19.226011276245117
1980-02-25,-18.291831970214844
1980-02-26,-18.443035125732422
1980-02-27,-17.155824661254883
1980-02-28,-16.787582397460938
1980-02-29,-19.02199935913086
1980-03-01,-19.395442962646484
1980-03-02,-16.81615447998047
1980-03-03,-18.54401397705078
1980-03-04,-20.017370223999023
1980-03-05,-20.210304260253906
1980-03-06,-19.803945541381836
1980-03-07,-22.986347198486328
1980-03-08,-25.378684997558594
1980-03-09,-26.670806884765625
1980-03-10,-25.63023567199707
1980-03-11,-23.72447967529297
1980-03-12,-22.340744018554688
1980-03-13,-21.401260375976562
1980-03-14,-20.066307067871094
1980-03-15,-21.157896041870117
1980-03-16,-17.507884979248047
1980-03-17,-13.399581909179688
1980-03-18,-14.84636402130127
1980-03-19,-17.525245666503906
1980-03-20,-20.29425811767578
1980-03-21,-18.368616104125977
1980-03-22,-15.626012802124023
1980-03-23,-13.91429615020752
1980-03-24,-13.632275581359863
1980-03-25,-11.011876106262207
1980-03-26,-7.670698165893555
1980-03-27,-10.889571189880371
1980-03-28,-13.514790534973145
1980-03-29,-13.682722091674805
1980-03-30,-13.280917167663574
1980-03-31,-10.493813514709473
1980-04-01,-5.463595867156982
1980-04-02,-5.588517665863037
1980-04-03,-13.755475997924805
1980-04-04,-15.101902961730957
1980-04-05,-16.6920223236084
1980-04-06,-14.71470832824707
1980-04-07,-10.46147346496582
1980-04-08,-5.433388710021973
1980-04-09,-3.4611775875091553
1980-04-10,-6.6921892166137695
1980-04-11,-7.796611785888672
1980-04-12,-4.350917339324951
1980-04-13,-1.724909782409668
1980-04-14,-0.31066185235977173
1980-04-15,1.9355521202087402
1980-04-16,2.7313883304595947
1980-04-17,-3.1300253868103027
1980-04-18,-5.931894302368164
1980-04-19,-2.537889003753662
1980-04-20,-0.57313072681427
1980-04-21,-0.6440767645835876
1980-04-22,-1.2030675411224365
1980-04-23,0.9307765960693359
1980-04-24,1.5389641523361206
1980-04-25,3.8844258785247803
1980-04-26,-0.30508020520210266
1980-04-27,2.2709450721740723
1980-04-28,5.286529064178467
1980-04-29,6.339915752410889
1980-04-30,6.979219436645508
1980-05-01,-0.5762540102005005
1980-05-02,-3.1996328830718994
1980-05-03,-1.366070032119751
1980-05-04,1.424616813659668
1980-05-05,2.671916961669922
1980-05-06,6.4172773361206055
1980-05-07,9.274001121520996
1980-05-08,11.02048397064209
1980-05-09,14.301900863647461
1980-05-10,6.284524917602539
1980-05-11,6.826545238494873
1980-05-12,4.221518516540527
1980-05-13,3.8451473712921143
1980-05-14,8.413658142089844
1980-05-15,10.677967071533203
1980-05-16,11.638605117797852
1980-05-17,9.53554916381836
1980-05-18,11.95240592956543
1980-05-19,9.886615753173828
1980-05-20,12.273655891418457
