,Average_Temparature
1980-01-01,-16.503673553466797
1980-01-02,-18.34218978881836
1980-01-03,-15.485429763793945
1980-01-04,-15.866250038146973
1980-01-05,-14.317214012145996
1980-01-06,-11.201192855834961
1980-01-07,-21.007753372192383
1980-01-08,-29.10133171081543
1980-01-09,-22.90283966064453
1980-01-10,-12.263903617858887
1980-01-11,-16.284603118896484
1980-01-12,-19.841489791870117
1980-01-13,-23.776460647583008
1980-01-14,-19.002849578857422
1980-01-15,-15.04749584197998
1980-01-16,-17.28023910522461
1980-01-17,-14.647418022155762
1980-01-18,-11.880532264709473
1980-01-19,-20.283668518066406
1980-01-20,-15.91624641418457
1980-01-21,-9.672989845275879
1980-01-22,-13.022314071655273
1980-01-23,-8.883305549621582
1980-01-24,-12.989973068237305
1980-01-25,-19.35281753540039
1980-01-26,-27.76076316833496
1980-01-27,-32.05657958984375
1980-01-28,-34.060462951660156
1980-01-29,-33.40060806274414
1980-01-30,-31.50720977783203
1980-01-31,-27.426658630371094
1980-02-01,-28.620973587036133
1980-02-02,-32.45256042480469
1980-02-03,-32.300025939941406
1980-02-04,-33.103118896484375
1980-02-05,-31.47114372253418
1980-02-06,-29.621761322021484
1980-02-07,-28.820167541503906
1980-02-08,-27.62403678894043
1980-02-09,-27.47774314880371
1980-02-10,-27.778705596923828
1980-02-11,-27.82170295715332
1980-02-12,-26.086273193359375
1980-02-13,-25.826444625854492
1980-02-14,-21.75382423400879
1980-02-15,-14.958020210266113
1980-02-16,-14.237730026245117
1980-02-17,-14.779147148132324
1980-02-18,-13.564953804016113
1980-02-19,-14.292166709899902
1980-02-20,-10.883641242980957
1980-02-21,-5.670053482055664
1980-02-22,-5.129757881164551
1980-02-23,-9.846699714660645
1980-02-24,-15.28492259979248
1980-02-25,-13.252163887023926
1980-02-26,-10.29621696472168
1980-02-27,-11.524944305419922
1980-02-28,-10.066876411437988
1980-02-29,-9.560266494750977
1980-03-01,-9.399039268493652
1980-03-02,-10.259005546569824
1980-03-03,-13.504229545593262
1980-03-04,-15.3400239944458
1980-03-05,-16.8311710357666
1980-03-06,-19.85205078125
1980-03-07,-24.04464340209961
1980-03-08,-25.498998641967773
1980-03-09,-26.111093521118164
