,Average_Temparature
1980-01-01,-18.217985153198242
1980-01-02,-20.275760650634766
1980-01-03,-19.314756393432617
1980-01-04,-17.589736938476562
1980-01-05,-17.898584365844727
1980-01-06,-14.43030834197998
1980-01-07,-20.496623992919922
1980-01-08,-24.070558547973633
1980-01-09,-20.45676040649414
1980-01-10,-17.459003448486328
1980-01-11,-18.77948760986328
1980-01-12,-22.229480743408203
1980-01-13,-23.408552169799805
1980-01-14,-20.05248260498047
1980-01-15,-16.957395553588867
1980-01-16,-18.241289138793945
1980-01-17,-17.457035064697266
1980-01-18,-15.577747344970703
1980-01-19,-19.241214752197266
1980-01-20,-16.97576141357422
1980-01-21,-13.882513046264648
1980-01-22,-14.758517265319824
1980-01-23,-13.170390129089355
1980-01-24,-16.46862030029297
1980-01-25,-20.520729064941406
1980-01-26,-28.004087448120117
1980-01-27,-30.88995933532715
1980-01-28,-31.248027801513672
1980-01-29,-30.9407958984375
1980-01-30,-29.70616340637207
1980-01-31,-27.836519241333008
1980-02-01,-28.519710540771484
1980-02-02,-30.8302059173584
1980-02-03,-30.40907096862793
1980-02-04,-29.98784065246582
1980-02-05,-27.442216873168945
1980-02-06,-26.75516700744629
1980-02-07,-25.262737274169922
1980-02-08,-24.813623428344727
1980-02-09,-26.00694465637207
1980-02-10,-26.198448181152344
1980-02-11,-26.130409240722656
1980-02-12,-23.858245849609375
1980-02-13,-22.45393943786621
1980-02-14,-19.237834930419922
1980-02-15,-15.381815910339355
1980-02-16,-13.879707336425781
1980-02-17,-13.400723457336426
1980-02-18,-12.74799633026123
1980-02-19,-14.098867416381836
1980-02-20,-11.970112800598145
1980-02-21,-7.7883782386779785
1980-02-22,-6.459075927734375
1980-02-23,-10.20168685913086
1980-02-24,-15.05577278137207
1980-02-25,-10.924878120422363
1980-02-26,-10.971427917480469
1980-02-27,-11.088306427001953
1980-02-28,-12.834588050842285
1980-02-29,-12.321145057678223
1980-03-01,-11.903267860412598
1980-03-02,-10.223461151123047
1980-03-03,-11.152613639831543
1980-03-04,-14.254598617553711
1980-03-05,-15.727566719055176
1980-03-06,-18.998451232910156
1980-03-07,-23.49764060974121
1980-03-08,-25.357471466064453
1980-03-09,-25.329973220825195
1980-03-10,-22.153465270996094
1980-03-11,-18.792600631713867
1980-03-12,-16.472614288330078
1980-03-13,-16.261058807373047
1980-03-14,-15.357995986938477
1980-03-15,-17.14011573791504
1980-03-16,-12.713257789611816
1980-03-17,-12.163244247436523
1980-03-18,-14.555173873901367
1980-03-19,-15.171046257019043
1980-03-20,-15.481450080871582
