,Average_Temparature
1980-01-01,-8.041528701782227
1980-01-02,-10.233781814575195
1980-01-03,-12.992537498474121
1980-01-04,-20.376230239868164
1980-01-05,-21.587553024291992
1980-01-06,-21.951932907104492
1980-01-07,-19.83060073852539
1980-01-08,-13.45931625366211
1980-01-09,-11.810819625854492
1980-01-10,-14.79914665222168
1980-01-11,-12.961799621582031
1980-01-12,-13.981849670410156
1980-01-13,-9.757691383361816
1980-01-14,-13.652534484863281
1980-01-15,-28.69061851501465
1980-01-16,-18.606637954711914
1980-01-17,-12.790772438049316
1980-01-18,-16.022762298583984
1980-01-19,-15.87887191772461
1980-01-20,-9.197317123413086
1980-01-21,-13.852237701416016
1980-01-22,-13.23292350769043
1980-01-23,-13.840337753295898
1980-01-24,-19.15057945251465
1980-01-25,-29.78755760192871
1980-01-26,-32.302093505859375
1980-01-27,-31.096712112426758
1980-01-28,-27.652463912963867
1980-01-29,-26.83089828491211
1980-01-30,-26.658552169799805
1980-01-31,-24.953052520751953
1980-02-01,-22.28618812561035
1980-02-02,-19.417863845825195
1980-02-03,-21.55417251586914
1980-02-04,-22.93407440185547
1980-02-05,-19.625192642211914
1980-02-06,-22.935285568237305
1980-02-07,-24.630849838256836
1980-02-08,-23.792633056640625
1980-02-09,-25.253753662109375
1980-02-10,-23.844532012939453
1980-02-11,-23.56365394592285
1980-02-12,-21.35009002685547
1980-02-13,-14.150989532470703
1980-02-14,-12.93970012664795
1980-02-15,-16.554641723632812
1980-02-16,-20.31525421142578
1980-02-17,-16.59865379333496
1980-02-18,-14.079541206359863
1980-02-19,-11.429789543151855
1980-02-20,-7.576010227203369
1980-02-21,-6.351241588592529
1980-02-22,-14.17645263671875
1980-02-23,-13.721489906311035
1980-02-24,-12.033074378967285
1980-02-25,-13.262886047363281
1980-02-26,-20.482133865356445
1980-02-27,-21.986858367919922
1980-02-28,-18.74959945678711
1980-02-29,-15.90197467803955
1980-03-01,-16.48976707458496
1980-03-02,-16.360183715820312
