,Average_Temparature
1980-01-01,-14.342585563659668
1980-01-02,-14.047771453857422
1980-01-03,-13.313000679016113
1980-01-04,-15.670336723327637
1980-01-05,-13.712011337280273
1980-01-06,-13.716609001159668
1980-01-07,-19.074316024780273
1980-01-08,-22.16813850402832
1980-01-09,-9.4362211227417
1980-01-10,-11.646833419799805
1980-01-11,-12.252434730529785
1980-01-12,-11.312740325927734
1980-01-13,-12.924707412719727
1980-01-14,-7.082322597503662
1980-01-15,-15.020009994506836
1980-01-16,-18.043453216552734
1980-01-17,-10.496159553527832
1980-01-18,-10.812313079833984
1980-01-19,-14.568521499633789
1980-01-20,-8.651632308959961
1980-01-21,-6.65067720413208
1980-01-22,-8.176185607910156
1980-01-23,-7.281186580657959
1980-01-24,-13.959334373474121
1980-01-25,-26.168127059936523
1980-01-26,-29.640302658081055
1980-01-27,-28.975522994995117
1980-01-28,-26.155052185058594
1980-01-29,-24.988685607910156
1980-01-30,-22.520301818847656
1980-01-31,-19.88373374938965
1980-02-01,-21.88123321533203
1980-02-02,-20.181612014770508
1980-02-03,-18.9335994720459
1980-02-04,-18.321386337280273
1980-02-05,-19.465620040893555
1980-02-06,-20.37923812866211
1980-02-07,-20.636600494384766
1980-02-08,-20.95741081237793
1980-02-09,-21.42254638671875
1980-02-10,-22.018978118896484
1980-02-11,-21.05024528503418
1980-02-12,-19.27491569519043
1980-02-13,-17.758831024169922
1980-02-14,-11.709588050842285
1980-02-15,-9.844228744506836
1980-02-16,-11.903936386108398
1980-02-17,-12.805740356445312
1980-02-18,-10.378867149353027
1980-02-19,-9.586753845214844
1980-02-20,-6.032756805419922
1980-02-21,-1.1162165403366089
1980-02-22,-6.648234844207764
1980-02-23,-12.335836410522461
1980-02-24,-11.856019020080566
1980-02-25,-6.504883289337158
1980-02-26,-9.504716873168945
1980-02-27,-12.050681114196777
1980-02-28,-12.803627014160156
1980-02-29,-11.773866653442383
1980-03-01,-11.612810134887695
1980-03-02,-10.220975875854492
1980-03-03,-10.651223182678223
1980-03-04,-10.217652320861816
1980-03-05,-9.503429412841797
1980-03-06,-14.719240188598633
1980-03-07,-18.145263671875
1980-03-08,-19.8447322845459
1980-03-09,-17.84370994567871
1980-03-10,-13.417126655578613
1980-03-11,-12.604135513305664
1980-03-12,-11.453457832336426
1980-03-13,-10.437989234924316
1980-03-14,-9.417581558227539
1980-03-15,-10.533016204833984
1980-03-16,-7.812480449676514
1980-03-17,-8.205222129821777
1980-03-18,-11.505844116210938
1980-03-19,-10.80844783782959
1980-03-20,-9.28433609008789
1980-03-21,-7.390449047088623
1980-03-22,-3.9519565105438232
1980-03-23,-4.53883695602417
1980-03-24,-0.21215835213661194
1980-03-25,2.582230567932129
1980-03-26,-5.978858470916748
1980-03-27,-8.773436546325684
1980-03-28,-7.531639099121094
1980-03-29,-6.7190704345703125
1980-03-30,-4.903223514556885
1980-03-31,-0.16975538432598114
1980-04-01,-1.3873083591461182
1980-04-02,-11.811664581298828
1980-04-03,-14.931864738464355
1980-04-04,-12.470494270324707
1980-04-05,-11.665885925292969
1980-04-06,-8.119462013244629
1980-04-07,-2.0475428104400635
1980-04-08,-0.745484471321106
1980-04-09,-2.7223219871520996
1980-04-10,-3.4518094062805176
