,Average_Temparature
1980-01-01,-12.556099891662598
1980-01-02,-16.884769439697266
1980-01-03,-18.62584686279297
1980-01-04,-14.783164024353027
1980-01-05,-14.39798355102539
1980-01-06,-16.20620346069336
1980-01-07,-20.699007034301758
1980-01-08,-19.34407615661621
1980-01-09,-13.882817268371582
1980-01-10,-12.682127952575684
1980-01-11,-15.785040855407715
1980-01-12,-18.818483352661133
1980-01-13,-20.623497009277344
1980-01-14,-12.978100776672363
1980-01-15,-13.742663383483887
1980-01-16,-18.034557342529297
1980-01-17,-13.648956298828125
1980-01-18,-13.365813255310059
1980-01-19,-20.697628021240234
1980-01-20,-14.93689250946045
1980-01-21,-10.291472434997559
1980-01-22,-10.71900463104248
1980-01-23,-10.444705963134766
1980-01-24,-14.005423545837402
1980-01-25,-23.419408798217773
1980-01-26,-31.03916358947754
1980-01-27,-32.50225830078125
1980-01-28,-27.9583740234375
1980-01-29,-24.009403228759766
1980-01-30,-21.067346572875977
1980-01-31,-25.517215728759766
1980-02-01,-23.127574920654297
1980-02-02,-19.101396560668945
1980-02-03,-20.770526885986328
1980-02-04,-21.91429901123047
1980-02-05,-20.99989128112793
1980-02-06,-22.251571655273438
1980-02-07,-25.975317001342773
1980-02-08,-25.04696273803711
1980-02-09,-25.743289947509766
1980-02-10,-27.989879608154297
1980-02-11,-25.79852294921875
1980-02-12,-24.818851470947266
1980-02-13,-23.042421340942383
1980-02-14,-18.835962295532227
1980-02-15,-12.60811996459961
1980-02-16,-11.053211212158203
1980-02-17,-12.364428520202637
1980-02-18,-12.080759048461914
1980-02-19,-14.570446968078613
1980-02-20,-9.134771347045898
1980-02-21,-2.8189404010772705
1980-02-22,-6.569171905517578
1980-02-23,-12.340934753417969
1980-02-24,-14.99600601196289
1980-02-25,-9.614749908447266
1980-02-26,-9.468128204345703
1980-02-27,-12.537412643432617
1980-02-28,-15.235452651977539
1980-02-29,-17.07924461364746
1980-03-01,-15.686361312866211
1980-03-02,-15.542523384094238
1980-03-03,-13.336518287658691
1980-03-04,-10.610337257385254
1980-03-05,-10.2650728225708
1980-03-06,-14.027761459350586
1980-03-07,-17.72062873840332
1980-03-08,-20.49355697631836
1980-03-09,-19.769760131835938
1980-03-10,-18.73258399963379
1980-03-11,-16.99258041381836
1980-03-12,-15.36362361907959
1980-03-13,-12.228558540344238
1980-03-14,-12.305851936340332
1980-03-15,-11.588553428649902
1980-03-16,-9.064623832702637
1980-03-17,-10.737350463867188
1980-03-18,-13.20644474029541
1980-03-19,-13.700021743774414
1980-03-20,-10.485078811645508
1980-03-21,-8.544655799865723
1980-03-22,-7.237433910369873
1980-03-23,-5.428695201873779
1980-03-24,-4.803732395172119
1980-03-25,-0.024228593334555626
1980-03-26,-5.983424663543701
1980-03-27,-10.84369945526123
1980-03-28,-9.8001070022583
1980-03-29,-7.725662708282471
1980-03-30,-7.381071090698242
1980-03-31,-1.8885068893432617
1980-04-01,-1.301336646080017
1980-04-02,-9.543912887573242
1980-04-03,-14.839214324951172
1980-04-04,-13.650618553161621
1980-04-05,-12.06602954864502
1980-04-06,-8.744463920593262
1980-04-07,-1.1214890480041504
1980-04-08,0.18177513778209686
1980-04-09,-3.070513963699341
1980-04-10,-4.171419620513916
1980-04-11,-1.5599026679992676
1980-04-12,0.40741539001464844
1980-04-13,2.431539535522461
1980-04-14,5.700424671173096
1980-04-15,7.741565704345703
1980-04-16,3.1227073669433594
1980-04-17,-1.1063880920410156
1980-04-18,-0.5293672680854797
1980-04-19,2.0856852531433105
1980-04-20,0.8123776912689209
1980-04-21,1.210360050201416
1980-04-22,2.1776235103607178
1980-04-23,3.6596624851226807
1980-04-24,3.573930501937866
1980-04-25,3.2914793491363525
1980-04-26,1.1720057725906372
1980-04-27,4.782260417938232
1980-04-28,7.348076820373535
1980-04-29,8.759352684020996
1980-04-30,0.4928380846977234
1980-05-01,-0.7682375907897949
1980-05-02,-0.7295580506324768
1980-05-03,2.1904470920562744
1980-05-04,8.642723083496094
1980-05-05,5.136061668395996
1980-05-06,11.0775728225708
1980-05-07,9.14219856262207
1980-05-08,11.25796127319336
1980-05-09,7.235537528991699
1980-05-10,6.8290205001831055
1980-05-11,8.489344596862793
1980-05-12,7.850433349609375
1980-05-13,10.375748634338379
1980-05-14,13.063868522644043
1980-05-15,14.98102855682373
1980-05-16,10.550755500793457
1980-05-17,13.625844955444336
1980-05-18,12.411200523376465
1980-05-19,8.730910301208496
1980-05-20,10.641959190368652
1980-05-21,9.001422882080078
1980-05-22,7.521919250488281
1980-05-23,9.987077713012695
1980-05-24,11.944587707519531
1980-05-25,17.24687957763672
1980-05-26,21.869489669799805
1980-05-27,12.360786437988281
1980-05-28,3.446284770965576
1980-05-29,3.8444178104400635
1980-05-30,6.802958965301514
1980-05-31,12.976027488708496
1980-06-01,16.646944046020508
1980-06-02,14.230557441711426
1980-06-03,9.229640007019043
