,Average_Temparature
1980-01-01,-11.69334888458252
1980-01-02,-12.32833194732666
1980-01-03,-13.886539459228516
1980-01-04,-17.390268325805664
1980-01-05,-17.991477966308594
1980-01-06,-19.68093490600586
1980-01-07,-19.01797866821289
1980-01-08,-14.930737495422363
1980-01-09,-8.83477783203125
1980-01-10,-14.637046813964844
1980-01-11,-12.228767395019531
1980-01-12,-13.780388832092285
1980-01-13,-10.884210586547852
1980-01-14,-8.87191390991211
1980-01-15,-23.67269515991211
1980-01-16,-20.250194549560547
1980-01-17,-11.648289680480957
1980-01-18,-13.101243019104004
1980-01-19,-15.264078140258789
1980-01-20,-9.128634452819824
1980-01-21,-10.659974098205566
1980-01-22,-12.111873626708984
1980-01-23,-10.535201072692871
1980-01-24,-17.85315704345703
1980-01-25,-28.650672912597656
1980-01-26,-31.817651748657227
1980-01-27,-31.264774322509766
1980-01-28,-25.878732681274414
1980-01-29,-24.582298278808594
1980-01-30,-22.655088424682617
1980-01-31,-21.68231773376465
1980-02-01,-20.510669708251953
1980-02-02,-16.822538375854492
1980-02-03,-17.255409240722656
1980-02-04,-18.592655181884766
1980-02-05,-16.218557357788086
1980-02-06,-21.120689392089844
1980-02-07,-23.251651763916016
1980-02-08,-23.331682205200195
1980-02-09,-23.209117889404297
1980-02-10,-23.0770206451416
1980-02-11,-23.296894073486328
1980-02-12,-21.70798683166504
1980-02-13,-15.904221534729004
1980-02-14,-12.444640159606934
1980-02-15,-14.231724739074707
1980-02-16,-17.887521743774414
1980-02-17,-16.40786361694336
1980-02-18,-11.572962760925293
1980-02-19,-11.184106826782227
1980-02-20,-6.420189380645752
1980-02-21,-3.759763717651367
1980-02-22,-12.078715324401855
1980-02-23,-13.700942039489746
1980-02-24,-10.963359832763672
1980-02-25,-7.985722064971924
1980-02-26,-16.150911331176758
1980-02-27,-18.9354305267334
1980-02-28,-19.082813262939453
1980-02-29,-15.338281631469727
1980-03-01,-14.437724113464355
1980-03-02,-15.953458786010742
1980-03-03,-15.9697904586792
1980-03-04,-10.859541893005371
1980-03-05,-8.660025596618652
1980-03-06,-13.087396621704102
1980-03-07,-17.31093978881836
1980-03-08,-18.774484634399414
1980-03-09,-17.920888900756836
1980-03-10,-15.08795166015625
1980-03-11,-14.927389144897461
1980-03-12,-14.529796600341797
1980-03-13,-12.645057678222656
1980-03-14,-12.576193809509277
1980-03-15,-11.400060653686523
1980-03-16,-9.66497802734375
1980-03-17,-13.343379974365234
1980-03-18,-13.791961669921875
1980-03-19,-13.379935264587402
1980-03-20,-11.377185821533203
1980-03-21,-6.867845058441162
1980-03-22,-5.265105247497559
1980-03-23,-6.989168167114258
1980-03-24,-3.276325225830078
1980-03-25,-1.3281781673431396
1980-03-26,-7.45084285736084
1980-03-27,-9.901058197021484
1980-03-28,-7.17567777633667
1980-03-29,-5.948395252227783
1980-03-30,-3.113121509552002
1980-03-31,0.15339912474155426
1980-04-01,-1.721534013748169
1980-04-02,-10.966748237609863
1980-04-03,-12.09886360168457
1980-04-04,-9.860928535461426
1980-04-05,-8.53034496307373
1980-04-06,-5.904306411743164
1980-04-07,-1.3389606475830078
1980-04-08,-1.6364690065383911
1980-04-09,-2.361379861831665
