,Average_Temparature
1980-01-01,-13.688761711120605
1980-01-02,-16.015066146850586
1980-01-03,-15.995738983154297
1980-01-04,-14.634564399719238
1980-01-05,-12.596292495727539
1980-01-06,-10.511327743530273
1980-01-07,-15.946269989013672
1980-01-08,-24.154922485351562
1980-01-09,-21.931467056274414
1980-01-10,-15.176189422607422
1980-01-11,-16.598512649536133
1980-01-12,-20.871990203857422
1980-01-13,-23.396224975585938
1980-01-14,-19.731117248535156
1980-01-15,-14.410125732421875
1980-01-16,-16.504505157470703
1980-01-17,-13.66586971282959
1980-01-18,-11.130274772644043
1980-01-19,-20.85016632080078
1980-01-20,-15.92292308807373
1980-01-21,-10.002116203308105
1980-01-22,-13.597434043884277
1980-01-23,-11.162118911743164
1980-01-24,-13.029175758361816
1980-01-25,-21.810810089111328
1980-01-26,-26.51294708251953
1980-01-27,-30.721261978149414
1980-01-28,-31.611295700073242
1980-01-29,-30.592897415161133
1980-01-30,-28.4193172454834
1980-01-31,-27.031797409057617
1980-02-01,-25.621585845947266
1980-02-02,-29.436952590942383
1980-02-03,-30.69621467590332
1980-02-04,-30.33700942993164
1980-02-05,-29.598915100097656
1980-02-06,-28.10049057006836
1980-02-07,-27.384952545166016
1980-02-08,-26.972806930541992
1980-02-09,-26.507675170898438
1980-02-10,-27.126928329467773
1980-02-11,-26.974899291992188
1980-02-12,-26.027238845825195
1980-02-13,-26.130475997924805
1980-02-14,-21.34646224975586
1980-02-15,-14.259172439575195
1980-02-16,-11.38515853881836
1980-02-17,-13.638862609863281
1980-02-18,-11.99805736541748
1980-02-19,-16.951255798339844
1980-02-20,-10.706053733825684
1980-02-21,-6.54155158996582
1980-02-22,-4.9371337890625
1980-02-23,-10.828536033630371
1980-02-24,-16.477596282958984
1980-02-25,-13.697580337524414
1980-02-26,-10.551519393920898
1980-02-27,-10.881876945495605
1980-02-28,-10.904154777526855
1980-02-29,-10.459000587463379
1980-03-01,-9.951135635375977
1980-03-02,-11.726009368896484
1980-03-03,-13.08939266204834
1980-03-04,-13.021585464477539
1980-03-05,-14.261124610900879
1980-03-06,-16.81646728515625
1980-03-07,-21.346288681030273
1980-03-08,-23.937623977661133
1980-03-09,-24.293033599853516
1980-03-10,-23.190444946289062
1980-03-11,-17.418581008911133
1980-03-12,-14.426129341125488
1980-03-13,-14.474002838134766
1980-03-14,-14.816705703735352
1980-03-15,-15.413856506347656
1980-03-16,-14.572467803955078
1980-03-17,-9.55685806274414
1980-03-18,-13.831886291503906
1980-03-19,-17.045549392700195
1980-03-20,-15.986954689025879
1980-03-21,-15.336014747619629
1980-03-22,-9.411105155944824
1980-03-23,-5.8404388427734375
1980-03-24,-7.419152736663818
1980-03-25,-1.8155452013015747
1980-03-26,-4.864902973175049
1980-03-27,-9.411075592041016
