,Average_Temparature
1980-01-01,-12.597112655639648
1980-01-02,-11.040234565734863
1980-01-03,-15.52381420135498
1980-01-04,-21.919239044189453
1980-01-05,-20.13750457763672
1980-01-06,-20.068572998046875
1980-01-07,-18.391162872314453
1980-01-08,-14.24967098236084
1980-01-09,-16.272409439086914
1980-01-10,-17.73597526550293
1980-01-11,-14.605278968811035
1980-01-12,-15.077106475830078
1980-01-13,-11.261102676391602
1980-01-14,-21.412731170654297
1980-01-15,-31.119529724121094
1980-01-16,-21.959487915039062
1980-01-17,-16.243192672729492
1980-01-18,-16.600317001342773
1980-01-19,-14.92269229888916
1980-01-20,-12.146946907043457
1980-01-21,-14.545872688293457
1980-01-22,-13.758886337280273
1980-01-23,-16.118494033813477
1980-01-24,-24.905784606933594
1980-01-25,-32.09730529785156
1980-01-26,-33.59033203125
1980-01-27,-31.460527420043945
1980-01-28,-29.330820083618164
1980-01-29,-24.06313705444336
1980-01-30,-23.24051284790039
1980-01-31,-21.336790084838867
1980-02-01,-21.76936149597168
1980-02-02,-20.501630783081055
1980-02-03,-21.957075119018555
1980-02-04,-22.497873306274414
1980-02-05,-19.120271682739258
1980-02-06,-21.959922790527344
1980-02-07,-23.32206916809082
1980-02-08,-24.28781509399414
1980-02-09,-21.815021514892578
1980-02-10,-21.629072189331055
1980-02-11,-22.654821395874023
1980-02-12,-21.22125244140625
1980-02-13,-13.508241653442383
1980-02-14,-15.962563514709473
1980-02-15,-19.584197998046875
1980-02-16,-21.455333709716797
1980-02-17,-18.784435272216797
1980-02-18,-16.97545051574707
1980-02-19,-16.182880401611328
1980-02-20,-13.734528541564941
1980-02-21,-10.76270866394043
1980-02-22,-16.72826385498047
1980-02-23,-15.477205276489258
1980-02-24,-14.229607582092285
1980-02-25,-14.095701217651367
1980-02-26,-21.697290420532227
1980-02-27,-19.163673400878906
1980-02-28,-13.781808853149414
1980-02-29,-14.554285049438477
1980-03-01,-15.86077880859375
1980-03-02,-15.958596229553223
1980-03-03,-17.8880558013916
1980-03-04,-13.14250659942627
1980-03-05,-10.950691223144531
1980-03-06,-15.611284255981445
1980-03-07,-19.668243408203125
1980-03-08,-19.82602310180664
1980-03-09,-18.56255340576172
1980-03-10,-16.012283325195312
1980-03-11,-11.838995933532715
1980-03-12,-13.365715980529785
1980-03-13,-13.114320755004883
1980-03-14,-13.269811630249023
1980-03-15,-11.855609893798828
1980-03-16,-12.476938247680664
1980-03-17,-17.060190200805664
1980-03-18,-16.979290008544922
