,Average_Temparature
1980-01-01,-28.497203826904297
1980-01-02,-31.239564895629883
1980-01-03,-31.326984405517578
1980-01-04,-27.746662139892578
1980-01-05,-27.91712188720703
1980-01-06,-26.612646102905273
1980-01-07,-28.866783142089844
1980-01-08,-38.18364715576172
1980-01-09,-37.37907409667969
1980-01-10,-30.736703872680664
1980-01-11,-30.625219345092773
1980-01-12,-35.47739791870117
1980-01-13,-37.96278762817383
1980-01-14,-36.20730209350586
1980-01-15,-33.02400588989258
1980-01-16,-30.267396926879883
1980-01-17,-31.060638427734375
1980-01-18,-28.4739933013916
1980-01-19,-31.799203872680664
1980-01-20,-33.823970794677734
1980-01-21,-28.83551788330078
1980-01-22,-29.05655860900879
1980-01-23,-30.141357421875
1980-01-24,-25.069568634033203
1980-01-25,-25.464231491088867
1980-01-26,-31.429136276245117
1980-01-27,-36.2239990234375
1980-01-28,-40.80927276611328
1980-01-29,-42.75319290161133
1980-01-30,-42.29774475097656
1980-01-31,-38.98616409301758
1980-02-01,-38.20094680786133
1980-02-02,-39.62434768676758
1980-02-03,-40.645164489746094
1980-02-04,-39.57046127319336
1980-02-05,-39.149070739746094
1980-02-06,-37.958290100097656
1980-02-07,-36.417694091796875
1980-02-08,-36.098365783691406
1980-02-09,-35.838314056396484
1980-02-10,-35.497894287109375
1980-02-11,-35.56242370605469
1980-02-12,-35.11411666870117
1980-02-13,-35.07881164550781
1980-02-14,-33.531070709228516
1980-02-15,-29.131580352783203
1980-02-16,-26.748001098632812
1980-02-17,-24.039644241333008
1980-02-18,-23.50995445251465
1980-02-19,-27.30884552001953
1980-02-20,-27.452280044555664
1980-02-21,-23.102527618408203
1980-02-22,-18.742801666259766
1980-02-23,-16.500835418701172
1980-02-24,-21.534496307373047
1980-02-25,-21.636898040771484
1980-02-26,-22.183448791503906
1980-02-27,-20.928329467773438
1980-02-28,-20.040666580200195
1980-02-29,-21.954069137573242
1980-03-01,-22.247215270996094
1980-03-02,-19.875076293945312
1980-03-03,-22.09842872619629
1980-03-04,-23.60956573486328
1980-03-05,-22.676382064819336
1980-03-06,-22.471614837646484
1980-03-07,-25.936113357543945
1980-03-08,-28.159189224243164
1980-03-09,-29.082889556884766
1980-03-10,-29.586259841918945
1980-03-11,-27.484060287475586
1980-03-12,-25.485240936279297
1980-03-13,-23.480947494506836
1980-03-14,-23.4946346282959
1980-03-15,-23.94582176208496
1980-03-16,-22.057323455810547
1980-03-17,-15.94659423828125
1980-03-18,-16.629634857177734
1980-03-19,-20.320463180541992
1980-03-20,-23.44188690185547
1980-03-21,-22.473960876464844
